Id,Test.Name,EvaluationOrder,Species.Name,LimitIsAbsolute,Limit,Severity,DayLimit,Eligible.Description,Comment.Mnemonic,$ImportLog
78,LAS_%HbAlc,5,?,no,?,5,?,?,DS_Comment_LAS_%HbAlc,Test not available
79,SFA,5,?,no,50,5,7,?,DS_Comment_SFA,Test not available
80,SFA,5,?,no,50,5,7,?,DS_Comment_SFA,Test not available
81,LAS_Random,5,?,no,?,5,7,?,DS_Comment_LAS_Random,Test not available
82,LAS_Random,5,?,no,?,5,7,?,DS_Comment_LAS_Random,Test not available
83,CYSC,5,?,no,50,5,7,?,DS_Comment_CYSC,Test not available
84,CYSC,5,?,no,50,5,7,?,DS_Comment_CYSC,Test not available
87,AMON,5,?,no,50,5,7,?,DS_Comment_AMON,Test not available
88,AMON,5,?,no,50,5,7,?,DS_Comment_AMON,Test not available
89,B-2MG,5,?,no,50,5,7,?,DS_Comment_B-2MG,Test not available
90,B-2MG,5,?,no,50,5,7,?,DS_Comment_B-2MG,Test not available
95,LAS_TSGF,5,?,no,?,5,7,?,DS_Comment_LAS_TSGF,Test not available
96,LAS_TSGF,5,?,no,?,5,7,?,DS_Comment_LAS_TSGF,Test not available
97,LPa,5,?,no,50,5,7,?,DS_Comment_LPa,Test not available
98,LPa,5,?,no,50,5,7,?,DS_Comment_LPa,Test not available
99,LA,5,?,no,50,5,7,?,DS_Comment_LA,Test not available
100,LA,5,?,no,50,5,7,?,DS_Comment_LA,Test not available
101,LIP,5,?,no,50,5,7,?,DS_Comment_LIP,Test not available
102,LIP,5,?,no,50,5,7,?,DS_Comment_LIP,Test not available
103,PCHE,5,?,no,50,5,7,?,DS_Comment_PCHE,Test not available
104,PCHE,5,?,no,50,5,7,?,DS_Comment_PCHE,Test not available
107,LAS_TRF,5,?,no,?,5,7,?,DS_Comment_LAS_TRF,Test not available
108,LAS_TRF,5,?,no,?,5,7,?,DS_Comment_LAS_TRF,Test not available
109,LAS_G6PD,5,?,no,?,5,?,?,DS_Comment_LAS_G6PD,Test not available
110,LAS_G6PD,5,?,no,?,5,?,?,DS_Comment_LAS_G6PD,Test not available
111,LAS_G6PD1,5,?,no,?,5,?,?,DS_Comment_LAS_G6PD1,Test not available
112,LAS_G6PD1,5,?,no,?,5,?,?,DS_Comment_LAS_G6PD1,Test not available
113,LAS_G6PD2,5,?,no,?,5,?,?,DS_Comment_LAS_G6PD2,Test not available
114,LAS_G6PD2,5,?,no,?,5,?,?,DS_Comment_LAS_G6PD2,Test not available
115,LAS_eGFRm,5,?,no,?,5,7,?,DS_Comment_LAS_eGFRm,Test not available
116,LAS_eGFRf,5,?,no,?,5,7,?,DS_Comment_LAS_eGFRf,Test not available
117,LAS_AGEm,5,?,no,?,5,7,?,DS_Comment_LAS_AGEm,Test not available
118,LAS_AGEm,5,?,no,?,5,7,?,DS_Comment_LAS_AGEm,Test not available
119,LAS_AGEf,5,?,no,?,5,7,?,DS_Comment_LAS_AGEf,Test not available
120,LAS_AGEf,5,?,no,?,5,7,?,DS_Comment_LAS_AGEf,Test not available
128,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
129,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
130,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
131,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
132,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
133,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
134,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
135,PROG,5,?,no,50,5,7,?,DS_Comment_PROG,Test not available
153,E2,5,?,no,50,5,7,?,DS_Comment_E2,Test not available
154,E2,5,?,no,50,5,7,?,DS_Comment_E2,Test not available
155,E2,5,?,no,50,5,7,?,DS_Comment_E2,Test not available
156,E2,5,?,no,50,5,7,?,DS_Comment_E2,Test not available
157,E2,5,?,no,50,5,7,?,DS_Comment_E2,Test not available
158,TESTO,5,?,no,50,5,7,?,DS_Comment_TESTO,Test not available
159,TESTO,5,?,no,50,5,7,?,DS_Comment_TESTO,Test not available
160,CORT,5,?,no,50,5,7,?,DS_Comment_CORT,Test not available
161,CORT,5,?,no,50,5,7,?,DS_Comment_CORT,Test not available
162,CORT,5,?,no,50,5,7,?,DS_Comment_CORT,Test not available
163,CORT,5,?,no,50,5,7,?,DS_Comment_CORT,Test not available
170,CA15-3,5,?,no,50,5,7,?,DS_Comment_CA15-3,Test not available
171,CA15-3,5,?,no,50,5,7,?,DS_Comment_CA15-3,Test not available
172,CA19-9,5,?,no,50,5,7,?,DS_Comment_CA19-9,Test not available
173,CA19-9,5,?,no,50,5,7,?,DS_Comment_CA19-9,Test not available
178,iPTH,5,?,no,50,5,7,?,DS_Comment_iPTH,Test not available
179,iPTH,5,?,no,50,5,7,?,DS_Comment_iPTH,Test not available
180,LAS_CsA,5,?,no,?,5,?,?,DS_Comment_LAS_CsA,Test not available
181,LAS_CsA,5,?,no,?,5,?,?,DS_Comment_LAS_CsA,Test not available
182,CTNI,5,?,no,50,5,7,?,DS_Comment_CTNI,Test not available
183,CTNI,5,?,no,50,5,7,?,DS_Comment_CTNI,Test not available
184,MYO,5,?,no,50,5,7,?,DS_Comment_MYO,Test not available
185,MYO,5,?,no,50,5,7,?,DS_Comment_MYO,Test not available
190,BNP2,5,?,no,50,5,7,?,DS_Comment_BNP2,Test not available
191,BNP2,5,?,no,50,5,7,?,DS_Comment_BNP2,Test not available
200,TSH,5,?,no,50,5,7,?,DS_Comment_TSH,Test not available
201,TSH,5,?,no,50,5,7,?,DS_Comment_TSH,Test not available
206,Ferr,5,?,no,50,5,7,?,DS_Comment_Ferr,Test not available
207,Ferr,5,?,no,50,5,7,?,DS_Comment_Ferr,Test not available
208,FOL,5,?,no,50,5,7,?,DS_Comment_FOL,Test not available
209,FOL,5,?,no,50,5,7,?,DS_Comment_FOL,Test not available
210,VB12,5,?,no,50,5,7,?,DS_Comment_VB12,Test not available
211,VB12,5,?,no,50,5,7,?,DS_Comment_VB12,Test not available
212,VitD,5,?,no,50,5,7,?,DS_Comment_VitD,Test not available
213,VitD,5,?,no,50,5,7,?,DS_Comment_VitD,Test not available
