Value,Set.Function.Table.Name,Set.Function.Mnemonic,Set.ShortDescription,FormalParameter.Name
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=68\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 04,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=67\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 05,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=66\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 06,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=65\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 07,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=64\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 08,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=63\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 09,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=62\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 10,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=61\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 11,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=60\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 12,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=59\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 13,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=58\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 14,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=57\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 15,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=56\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 16,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=55\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 17,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=54\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 18,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=53\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 19,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=52\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 20,QueryParameterList
